filename,page,extracted_text,prompt,caption
page_10_6_img_in_chart_box_0_0_2199_1182.jpg,10,,"Describe this image in detail, focusing on key elements and their relationships",a picture of the five fundamentals of storytelling
page_11_7_img_in_image_box_1683_0_2200_524.jpg,11,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a woman reading a book with stars on it
page_12_10_img_in_image_box_1560_435_1896_649.jpg,12,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a group of people sitting around each other
page_12_8_img_in_image_box_680_349_1060_672.jpg,12,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a woman holding a baby in her arms
page_12_9_img_in_image_box_1114_852_1453_1074.jpg,12,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a group of people standing around a sink
page_13_11_img_in_image_box_392_311_1714_1059.jpg,13,川Presentation Article Factsheet PX Wire Video Newsletter Brochure Blog Post,"Based on this context: '川Presentation Article Factsheet PX Wire Video Newsletter Brochure Blog Post', describe this image in detail",a picture of a bunch of different types of paper on a pink background
page_16_12_img_in_image_box_72_240_2140_911.jpg,16,What did they achieve? ♦ Users Who is their guide?their plan into action?Howwould they put ♦ What plan What is their did they have? quest? 口口O 0 司口 PROTAGONIST PROBLEM GUIDE PLAN ACTION (or failure)SU,"Based on this context: 'What did they achieve? ♦ Users Who is their guide?their plan into action?Howwould they put ♦ What plan What is their did they have? quest? 口口O 0 司口 PROTAGONIST PROBLEM GUIDE PLAN ACTION (or failure)SU', describe this image in detail",a picture of a diagram showing the steps in the process of making a cake
page_17_13_img_in_image_box_84_237_2151_1025.jpg,17,CLIMAX PLOTPOINT2 PLOT POINT 1 MIDPOINT INCITINGINCIDENT THE PLOT SETUP CONFRONTATION RESOLUTION,"Based on this context: 'CLIMAX PLOTPOINT2 PLOT POINT 1 MIDPOINT INCITINGINCIDENT THE PLOT SETUP CONFRONTATION RESOLUTION', describe this image in detail",a picture of a diagram showing the steps in which a person is doing different tasks
page_18_14_img_in_image_box_82_242_2150_1026.jpg,18,Success / Failure Designers Vitaly Plan 三 Problem Actions .0…………Climax Midpoint Inciting Incident Plot Point 1 Plot Point 2 THE PLOT SETUP CONFRONTATION RESOLUTION,"Based on this context: 'Success / Failure Designers Vitaly Plan 三 Problem Actions .0…………Climax Midpoint Inciting Incident Plot Point 1 Plot Point 2 THE PLOT SETUP CONFRONTATION RESOLUTION', describe this image in detail",a picture of a diagram showing the stages of the root cycle
page_19_15_img_in_image_box_296_222_2160_1237.jpg,19,EMAATINTEWACE OESION PATTEMNS About the Course Table of Contents FreePr VIDEO COURSE WORKSHOP Joh video +lvet Oat the courser caning SMART Starts ot $275 INTERFACE DESIGN 0Q PATTERNS OPENING SCENE VIT,"Based on this context: 'EMAATINTEWACE OESION PATTEMNS About the Course Table of Contents FreePr VIDEO COURSE WORKSHOP Joh video +lvet Oat the courser caning SMART Starts ot $275 INTERFACE DESIGN 0Q PATTERNS OPENING SCENE VIT', describe this image in detail",a picture of an image of a website page with a diagram of what it looks like
page_1_0_img_in_image_box_1169_347_2199_1236.jpg,1,,"Describe this image in detail, focusing on key elements and their relationships",a picture of an illustration of a mountain with stars and clouds
page_20_16_img_in_image_box_970_1_1852_1238.jpg,20,"Get once,watch forever. New videos added regularly. Agrowing libraryof video lessons& 17412027OTO examplesWith lessonavlale now,and more added every few Designing for Touch Accordions UX Navigation UX","Based on this context: 'Get once,watch forever. New videos added regularly. Agrowing libraryof video lessons& 17412027OTO examplesWith lessonavlale now,and more added every few Designing for Touch Accordions UX Navigation UX', describe this image in detail",a picture of a man sitting at a desk using a computer
page_21_17_img_in_image_box_964_1_1860_1233.jpg,21,"That's what these wonderful people say about the course! Zars Cooper Drad Froat Sara Soueidan SeoeDroper sujpjo ""Bestpracticesenyoped""oupocosanos Smar Inrace Desin Pati an lovemesomecoponentsEfective ","Based on this context: 'That's what these wonderful people say about the course! Zars Cooper Drad Froat Sara Soueidan SeoeDroper sujpjo ""Bestpracticesenyoped""oupocosanos Smar Inrace Desin Pati an lovemesomecoponentsEfective ', describe this image in detail",a picture of a web page with a man in a chef ' s uniform
page_22_18_img_in_image_box_679_0_2150_1235.jpg,22,"asdevelopebinginvolvedinUintfedesgn usabilirytestingandperformanceopimizaion I loveourwonderfcommunity,ando lovewriting articles about theweb.speakingworkshopping and teachingI'mthe editorinchief and ","Based on this context: 'asdevelopebinginvolvedinUintfedesgn usabilirytestingandperformanceopimizaion I loveourwonderfcommunity,ando lovewriting articles about theweb.speakingworkshopping and teachingI'mthe editorinchief and ', describe this image in detail",a picture of a web page with a bunch of information on it
page_25_19_img_in_chart_box_216_343_1974_940.jpg,25,,"Describe this image in detail, focusing on key elements and their relationships","a picture of a venn diagram with the words client, deliverr and users"
page_26_20_img_in_image_box_1113_104_1378_366.jpg,26,口 口,"Describe this image in detail, focusing on key elements and their relationships",a picture of a red circle with a white outline of an object on it
page_26_21_img_in_image_box_1113_483_1377_745.jpg,26,办♦□□☆,"Describe this image in detail, focusing on key elements and their relationships",a picture of a red circle with a sword and stars on it
page_26_22_img_in_image_box_1112_862_1378_1123.jpg,26,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a red circle with a white line drawing of the brain
page_27_23_img_in_image_box_216_675_414_858.jpg,27,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a drawing of an eye on a pink background
page_27_24_img_in_image_box_663_356_1010_724.jpg,27,V,"Describe this image in detail, focusing on key elements and their relationships",a picture of a light bulb in a circle on a pink background
page_27_25_img_in_image_box_1243_443_1491_639.jpg,27,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a brain with a light bulb inside of it
page_27_26_img_in_image_box_1702_581_2060_952.jpg,27,D,"Describe this image in detail, focusing on key elements and their relationships",a picture of a light bulb with arrows around it
page_28_27_img_in_image_box_1243_423_1491_614.jpg,28,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a brain with a light bulb inside of it
page_28_28_img_in_image_box_1624_482_2174_859.jpg,28,Acv bivouμe ελnia. angoAdnonug nOOORTUKT Δcv δivour chnde ipoldnomuy,"Based on this context: 'Acv bivouμe ελnia. angoAdnonug nOOORTUKT Δcv δivour chnde ipoldnomuy', describe this image in detail",a picture of a book with a red cover and a black arrow
page_28_29_img_in_image_box_72_626_586_838.jpg,28,,"Describe this image in detail, focusing on key elements and their relationships",a picture of three pictures of a woman with a knife in her hand
page_28_30_img_in_image_box_606_308_771_532.jpg,28,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a young boy smiles while holding a tablet computer
page_28_31_img_in_image_box_798_309_957_531.jpg,28,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a woman with a blue turban smiles at the camera
page_28_32_img_in_image_box_986_309_1149_530.jpg,28,unicef,"Describe this image in detail, focusing on key elements and their relationships",a picture of a young girl in a red dress looking at the camera
page_29_33_img_in_image_box_13_231_2191_1107.jpg,29,LUTIONS ARIAOMETRNE SA After'scryptographic security I want to trust technologyto and blockchain foundation safeguardmyassetsanddistrbue provides a way for safe.them according to my exact secure trans,"Based on this context: 'LUTIONS ARIAOMETRNE SA After'scryptographic security I want to trust technologyto and blockchain foundation safeguardmyassetsanddistrbue provides a way for safe.them according to my exact secure trans', describe this image in detail",a picture of a brochure with a man in a suit standing next to it
page_30_34_img_in_chart_box_215_343_1974_940.jpg,30,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a diagram showing the different types of customers
page_31_35_img_in_chart_box_414_171_1784_1179.jpg,31,,"Describe this image in detail, focusing on key elements and their relationships",a picture of a diagram of the problem and how to use it
page_32_36_img_in_image_box_180_317_2017_959.jpg,32,"users' needs videos set Vitaly's role tools learning fast,real-time examples,experienced getting the best lessons a friendly and blackboard, notes, teacher, UX expert,in UX/UI, and hungry for knowledg","Based on this context: 'users' needs videos set Vitaly's role tools learning fast,real-time examples,experienced getting the best lessons a friendly and blackboard, notes, teacher, UX expert,in UX/UI, and hungry for knowledg', describe this image in detail",a picture of a diagram that shows the different types of food
page_33_37_img_in_image_box_618_163_1671_1140.jpg,33,VIDEO COURSE ＷORKS HOP SMART INTERFACE DESIGN PATTERNS with VITALY FRIEDMAN,"Based on this context: 'VIDEO COURSE ＷORKS HOP SMART INTERFACE DESIGN PATTERNS with VITALY FRIEDMAN', describe this image in detail",a picture of a black background with the words smart interface design patterns
page_34_38_img_in_image_box_490_246_1701_1063.jpg,34,VIDEO COURSE WORKSHOP SMART INTERFACE DESIGN PATTERNS with VITALY FRIEDMAN,"Based on this context: 'VIDEO COURSE WORKSHOP SMART INTERFACE DESIGN PATTERNS with VITALY FRIEDMAN', describe this image in detail",a picture of a graphic with the words smart interface design patterns
page_35_39_img_in_image_box_536_89_1826_1238.jpg,35,YOve,"Describe this image in detail, focusing on key elements and their relationships",a picture of a bowl filled with food and a bottle of liquid
page_38_40_img_in_image_box_85_272_878_1032.jpg,38,TheNarrative Web Storytelling applied to UX/UI design Available on Domestika.org,"Based on this context: 'TheNarrative Web Storytelling applied to UX/UI design Available on Domestika.org', describe this image in detail",a picture of a woman sitting at a table with a laptop
page_39_41_img_in_image_box_1163_91_2200_1237.jpg,39,C,"Describe this image in detail, focusing on key elements and their relationships",a picture of a red rooster standing on a pile of balloons
page_3_1_img_in_image_box_716_88_1465_1190.jpg,3,"stockCrOC CRYPTO yourcoins stockCrOC CRYPTO COIN $47,831.92 3.73% LKADOT pm $32.44, 12.61% IT'S RDANO vmn 4.81%$1.15 CRYPTO THER vmn 0.04%$1.00 TIME!$0.45892.32%> ALWAYS OPEN AINLINK K $27.575.38%) 24","Based on this context: 'stockCrOC CRYPTO yourcoins stockCrOC CRYPTO COIN $47,831.92 3.73% LKADOT pm $32.44, 12.61% IT'S RDANO vmn 4.81%$1.15 CRYPTO THER vmn 0.04%$1.00 TIME!$0.45892.32%> ALWAYS OPEN AINLINK K $27.575.38%) 24', describe this image in detail",a picture of two smartphones with cryptcoins displayed on them
page_5_2_img_in_image_box_256_139_2066_1150.jpg,5,*****新大Y,"Describe this image in detail, focusing on key elements and their relationships",a picture of a living room with a couch and two paintings on the wall
page_6_3_img_in_image_box_4_0_2197_1236.jpg,6,AVAC Global Advocacyfor HVPreventin Upcoming Events 心& Webinars Prevention of transmissio US$ mil Effi cacy is Not 3 the Only HIV SEP as prevention US$ million Treatment 9.1Prevention Attribute that M,"Based on this context: 'AVAC Global Advocacyfor HVPreventin Upcoming Events 心& Webinars Prevention of transmissio US$ mil Effi cacy is Not 3 the Only HIV SEP as prevention US$ million Treatment 9.1Prevention Attribute that M', describe this image in detail",a picture of a person holding a cell phone in their hand
page_7_4_img_in_image_box_1172_347_2200_1238.jpg,7,萧,"Describe this image in detail, focusing on key elements and their relationships",a picture of an illustration of a mountain with stars and clouds
page_8_5_img_in_image_box_81_269_2117_1066.jpg,8,BRIEF DESIGN DELIVER the client the user the user + the client,"Based on this context: 'BRIEF DESIGN DELIVER the client the user the user + the client', describe this image in detail",a picture of a series of three icons depicting different types of devices
